Local time,Ask,Bid,AskVolume,BidVolume
10.06.2016 08:00:00.318 GMT+0100,6214.02,6213.773,0,0.0003
10.06.2016 08:00:00.650 GMT+0100,6214,6213.02,0.0001,0.0002
10.06.2016 08:00:00.701 GMT+0100,6209.39,6208.39,0.0009,0.0013
10.06.2016 08:00:00.812 GMT+0100,6209.4,6209.3,0,0.0001
10.06.2016 08:00:00.913 GMT+0100,6209.63,6208.63,0,0.0009
10.06.2016 08:00:00.968 GMT+0100,6209.63,6209,0,0.0003
10.06.2016 08:00:01.064 GMT+0100,6209.63,6208.63,0,0.0009
10.06.2016 08:00:01.218 GMT+0100,6209.35,6208.8,0,0.0001
10.06.2016 08:00:01.647 GMT+0100,6209.35,6208.35,0,0.0009
10.06.2016 08:00:01.698 GMT+0100,6209.82,6208.82,0,0.0009
10.06.2016 08:00:01.751 GMT+0100,6209.23,6208.23,0,0.0009
10.06.2016 08:00:01.820 GMT+0100,6209.23,6208.8,0,0.0001
10.06.2016 08:00:02.325 GMT+0100,6209.97,6209.6,0,0.0001
10.06.2016 08:00:02.564 GMT+0100,6210.483,6208.95,0,0.0013
10.06.2016 08:00:02.740 GMT+0100,6212.9,6211.9,0,0.0013
10.06.2016 08:00:03.079 GMT+0100,6212.9,6212.6,0,0.0001
10.06.2016 08:00:03.480 GMT+0100,6213.5,6212.6,0,0.0001
10.06.2016 08:00:03.531 GMT+0100,6213.97,6212.97,0,0.0009
10.06.2016 08:00:03.889 GMT+0100,6213.94,6212.94,0,0.0009
10.06.2016 08:00:04.060 GMT+0100,6213.95,6212.95,0,0.0009
10.06.2016 08:00:04.561 GMT+0100,6213.93,6212.93,0,0.0009
10.06.2016 08:00:04.683 GMT+0100,6213.93,6213.1,0,0.0001
10.06.2016 08:00:04.940 GMT+0100,6213.97,6213.1,0,0.0001
10.06.2016 08:00:05.049 GMT+0100,6214.49,6213.49,0,0.0009
10.06.2016 08:00:05.185 GMT+0100,6214.49,6213.49,0,0.0009
10.06.2016 08:00:05.270 GMT+0100,6214.48,6213.48,0,0.0009
10.06.2016 08:00:05.966 GMT+0100,6214.87,6214.3,0,0.0003
10.06.2016 08:00:06.087 GMT+0100,6214.87,6214.3,0,0.0003
10.06.2016 08:00:06.149 GMT+0100,6214.43,6214.3,0,0.0003
10.06.2016 08:00:06.299 GMT+0100,6214.43,6214,0,0.0003
10.06.2016 08:00:06.400 GMT+0100,6214.43,6213.8,0,0.0003
10.06.2016 08:00:06.480 GMT+0100,6214.41,6213.8,0,0.0003
10.06.2016 08:00:06.590 GMT+0100,6213.78,6212.78,0,0.0009
10.06.2016 08:00:06.640 GMT+0100,6213.78,6212.8,0,0.0001
10.06.2016 08:00:07.153 GMT+0100,6213.93,6212.93,0,0.0009
10.06.2016 08:00:07.470 GMT+0100,6213.7,6212.8,0,0.0001
10.06.2016 08:00:07.600 GMT+0100,6213.7,6212.9,0,0.0001
10.06.2016 08:00:07.800 GMT+0100,6213.98,6212.98,0,0.0009
10.06.2016 08:00:07.905 GMT+0100,6213.98,6213.727,0,0.0003
10.06.2016 08:00:08.307 GMT+0100,6213.81,6212.9,0,0.0001
10.06.2016 08:00:08.407 GMT+0100,6213.92,6212.92,0,0.0009
10.06.2016 08:00:08.600 GMT+0100,6213.92,6213,0,0.0001
10.06.2016 08:00:08.909 GMT+0100,6214.18,6213.8,0,0.0003
10.06.2016 08:00:09.230 GMT+0100,6214.26,6214,0,0.0003
10.06.2016 08:00:09.311 GMT+0100,6214.26,6213.26,0.0005,0.0002
10.06.2016 08:00:09.450 GMT+0100,6212.92,6212.1,0,0.0001
10.06.2016 08:00:09.779 GMT+0100,6213.25,6212.25,0,0.0009
10.06.2016 08:00:10.427 GMT+0100,6213.28,6212.28,0,0.0009
10.06.2016 08:00:10.771 GMT+0100,6212.71,6211.9,0,0.0001
10.06.2016 08:00:11.100 GMT+0100,6212.8,6211.9,0,0.0001
10.06.2016 08:00:11.150 GMT+0100,6212.8,6212.1,0,0.0001
10.06.2016 08:00:11.493 GMT+0100,6213.13,6212.13,0,0.0009
10.06.2016 08:00:11.544 GMT+0100,6213.13,6212.8,0,0.0003
10.06.2016 08:00:11.711 GMT+0100,6213.13,6212.8,0,0.0003
10.06.2016 08:00:11.871 GMT+0100,6212.9,6212.8,0,0.0003
10.06.2016 08:00:11.921 GMT+0100,6212.9,6211.9,0.0005,0.0002
10.06.2016 08:00:12.029 GMT+0100,6212.9,6212.5,0,0.0003
10.06.2016 08:00:12.323 GMT+0100,6212.9,6211.9,0,0.0009
10.06.2016 08:00:12.421 GMT+0100,6212.93,6211.93,0,0.0009
10.06.2016 08:00:12.749 GMT+0100,6212.93,6212.71,0,0.0003
10.06.2016 08:00:13.080 GMT+0100,6212.7,6211.9,0,0.0001
10.06.2016 08:00:13.218 GMT+0100,6212.7,6211.7,0,0.0013
10.06.2016 08:00:13.319 GMT+0100,6212.68,6211.7,0,0.0001
10.06.2016 08:00:14.062 GMT+0100,6212.22,6212,0,0.0003
10.06.2016 08:00:14.113 GMT+0100,6211.66,6210.66,0,0.0009
10.06.2016 08:00:14.229 GMT+0100,6211.66,6210.9,0,0.0001
10.06.2016 08:00:14.290 GMT+0100,6211.65,6210.9,0,0.0001
10.06.2016 08:00:14.529 GMT+0100,6211.78,6210.9,0,0.0001
10.06.2016 08:00:14.750 GMT+0100,6211.77,6210.9,0,0.0001
10.06.2016 08:00:15.163 GMT+0100,6211.8,6210.9,0,0.0001
10.06.2016 08:00:15.300 GMT+0100,6211.88,6210.9,0,0.0001
10.06.2016 08:00:15.519 GMT+0100,6211.78,6210.9,0,0.0001
10.06.2016 08:00:16.404 GMT+0100,6211.87,6211.4,0,0.0001
10.06.2016 08:00:16.730 GMT+0100,6213,6212,0,0.0009
10.06.2016 08:00:16.780 GMT+0100,6213,6212,0,0.0009
10.06.2016 08:00:16.950 GMT+0100,6213.03,6212.03,0,0.0009
10.06.2016 08:00:17.235 GMT+0100,6213.07,6212.1,0,0.0001
10.06.2016 08:00:17.499 GMT+0100,6213.28,6212.28,0,0.0009
10.06.2016 08:00:17.939 GMT+0100,6213.12,6212.873,0,0.0003
10.06.2016 08:00:18.239 GMT+0100,6213.13,6212.977,0,0.0003
10.06.2016 08:00:18.347 GMT+0100,6213.13,6212.3,0,0.0001
10.06.2016 08:00:18.489 GMT+0100,6213.24,6212.3,0,0.0001
10.06.2016 08:00:18.743 GMT+0100,6213.24,6212.24,0,0.0009
10.06.2016 08:00:19.066 GMT+0100,6212.84,6212.5,0,0.0003
10.06.2016 08:00:19.401 GMT+0100,6212.87,6212.77,0,0.0003
10.06.2016 08:00:19.699 GMT+0100,6212.7,6211.7,0,0.0013
10.06.2016 08:00:19.852 GMT+0100,6212.7,6212.467,0,0.0003
10.06.2016 08:00:19.970 GMT+0100,6212.74,6211.74,0,0.0009
10.06.2016 08:00:20.330 GMT+0100,6212.63,6211.7,0,0.0001
10.06.2016 08:00:20.690 GMT+0100,6212.78,6212.493,0,0.0003
10.06.2016 08:00:21.290 GMT+0100,6212.78,6212.46,0,0.0003
10.06.2016 08:00:21.891 GMT+0100,6212.66,6212.3,0,0.0003
10.06.2016 08:00:21.992 GMT+0100,6212.43,6212,0,0.0003
10.06.2016 08:00:22.449 GMT+0100,6212.19,6211.963,0,0.0003
10.06.2016 08:00:22.500 GMT+0100,6212.19,6211.8,0,0.0003
10.06.2016 08:00:22.878 GMT+0100,6212.19,6211.8,0,0.0003
10.06.2016 08:00:22.929 GMT+0100,6212.18,6211.18,0.0005,0.0002
10.06.2016 08:00:22.999 GMT+0100,6211.98,6210.98,0.0005,0.0002
10.06.2016 08:00:23.265 GMT+0100,6211.98,6210.98,0.0005,0.0002
10.06.2016 08:00:23.365 GMT+0100,6211.98,6210.98,0.0007,0.0002
10.06.2016 08:00:23.551 GMT+0100,6210.82,6210.3,0,0.0003
10.06.2016 08:00:23.766 GMT+0100,6210.82,6209.82,0.0005,0.0002
10.06.2016 08:00:23.817 GMT+0100,6210.13,6209.8,0,0.0003
10.06.2016 08:00:24.321 GMT+0100,6210.18,6209.893,0,0.0003
10.06.2016 08:00:24.699 GMT+0100,6210.19,6209.5,0,0.0003
10.06.2016 08:00:24.771 GMT+0100,6210.19,6209.3,0,0.0003
10.06.2016 08:00:24.822 GMT+0100,6210.19,6209.3,0,0.0003
10.06.2016 08:00:25.322 GMT+0100,6209.7,6209.5,0,0.0003
10.06.2016 08:00:25.601 GMT+0100,6209.51,6209.3,0,0.0003
10.06.2016 08:00:25.652 GMT+0100,6209.6,6209.3,0,0.0003
10.06.2016 08:00:25.979 GMT+0100,6209.64,6209.3,0,0.0003
10.06.2016 08:00:26.075 GMT+0100,6209.64,6209,0,0.0003
10.06.2016 08:00:26.398 GMT+0100,6209.64,6208.8,0,0.0003
10.06.2016 08:00:26.577 GMT+0100,6209.39,6208.39,0,0.0009
10.06.2016 08:00:26.749 GMT+0100,6209.53,6208.53,0,0.0009
10.06.2016 08:00:26.859 GMT+0100,6209.16,6208.4,0,0.0001
10.06.2016 08:00:27.379 GMT+0100,6209.45,6208.45,0,0.0009
10.06.2016 08:00:27.481 GMT+0100,6209.45,6209.217,0,0.0003
10.06.2016 08:00:27.739 GMT+0100,6209.09,6208.4,0,0.0001
10.06.2016 08:00:27.790 GMT+0100,6209.09,6208.1,0,0.0001
10.06.2016 08:00:27.959 GMT+0100,6209.16,6208.16,0,0.0009
10.06.2016 08:00:28.524 GMT+0100,6209.2,6208.2,0,0.0009
10.06.2016 08:00:28.840 GMT+0100,6209.75,6208.75,0,0.0009
10.06.2016 08:00:28.901 GMT+0100,6209.75,6208.75,0,0.0009
10.06.2016 08:00:29.281 GMT+0100,6209.81,6208.81,0,0.0009
10.06.2016 08:00:29.709 GMT+0100,6209.81,6208.81,0,0.0009
10.06.2016 08:00:29.759 GMT+0100,6210.46,6209.46,0,0.0009
10.06.2016 08:00:29.810 GMT+0100,6210.46,6209.46,0.0005,0.0002
10.06.2016 08:00:29.860 GMT+0100,6209.63,6209,0,0.0003
10.06.2016 08:00:30.049 GMT+0100,6209.03,6208.91,0,0.0003
10.06.2016 08:00:30.393 GMT+0100,6209.1,6208.843,0,0.0003
10.06.2016 08:00:30.490 GMT+0100,6208.97,6208,0,0.0001
