Local time,Ask,Bid
22.06.2016 08:00:00.266 GMT+0100,6262.16,6262
22.06.2016 08:00:00.317 GMT+0100,6262.16,6261.16
22.06.2016 08:00:00.421 GMT+0100,6269.04,6268.04
22.06.2016 08:00:00.761 GMT+0100,6269.17,6268.17
22.06.2016 08:00:00.811 GMT+0100,6269.17,6268.3
22.06.2016 08:00:00.869 GMT+0100,6269.17,6268.17
22.06.2016 08:00:01.067 GMT+0100,6271.44,6270.8
22.06.2016 08:00:01.284 GMT+0100,6271.79,6270.8
22.06.2016 08:00:01.471 GMT+0100,6271.79,6271.5
22.06.2016 08:00:01.614 GMT+0100,6271.89,6271.5
22.06.2016 08:00:01.772 GMT+0100,6272.23,6270.89
22.06.2016 08:00:01.873 GMT+0100,6271.88,6269.84
22.06.2016 08:00:02.215 GMT+0100,6272.463,6270.79
22.06.2016 08:00:03.187 GMT+0100,6273.89,6272.89
22.06.2016 08:00:03.528 GMT+0100,6274.863,6273.29
22.06.2016 08:00:03.831 GMT+0100,6275.12,6273.76
22.06.2016 08:00:04.136 GMT+0100,6274.47,6274
22.06.2016 08:00:04.431 GMT+0100,6274.797,6273.29
22.06.2016 08:00:04.583 GMT+0100,6274.29,6273.29
22.06.2016 08:00:04.695 GMT+0100,6274.84,6273.84
22.06.2016 08:00:04.745 GMT+0100,6274.84,6273.84
22.06.2016 08:00:04.840 GMT+0100,6274.84,6273.647
22.06.2016 08:00:05.025 GMT+0100,6272.09,6271.8
22.06.2016 08:00:05.186 GMT+0100,6272.09,6271.3
22.06.2016 08:00:05.236 GMT+0100,6272.09,6271.3
22.06.2016 08:00:05.537 GMT+0100,6271.87,6271.3
22.06.2016 08:00:05.595 GMT+0100,6271.87,6270.87
22.06.2016 08:00:05.646 GMT+0100,6271.87,6271
22.06.2016 08:00:05.905 GMT+0100,6270.947,6269.54
22.06.2016 08:00:06.235 GMT+0100,6271.303,6269.91
22.06.2016 08:00:06.593 GMT+0100,6271.14,6270.14
22.06.2016 08:00:06.944 GMT+0100,6272.297,6270.79
22.06.2016 08:00:07.335 GMT+0100,6272.16,6271.16
22.06.2016 08:00:07.647 GMT+0100,6272.6,6271.2
22.06.2016 08:00:08.215 GMT+0100,6272.14,6271.14
22.06.2016 08:00:08.552 GMT+0100,6274.79,6273.79
22.06.2016 08:00:08.909 GMT+0100,6275.32,6274.32
22.06.2016 08:00:09.210 GMT+0100,6272.823,6271.37
22.06.2016 08:00:09.601 GMT+0100,6273.08,6271.24
22.06.2016 08:00:09.974 GMT+0100,6273.61,6272.61
22.06.2016 08:00:10.353 GMT+0100,6274.397,6272.89
22.06.2016 08:00:10.666 GMT+0100,6274.81,6273.81
22.06.2016 08:00:11.069 GMT+0100,6271.66,6271.5
22.06.2016 08:00:11.407 GMT+0100,6271.14,6270.14
22.06.2016 08:00:11.472 GMT+0100,6271.14,6271
22.06.2016 08:00:11.573 GMT+0100,6271.14,6270.14
22.06.2016 08:00:11.673 GMT+0100,6269.32,6269
22.06.2016 08:00:11.845 GMT+0100,6269.263,6267.79
22.06.2016 08:00:12.175 GMT+0100,6269.12,6268.12
22.06.2016 08:00:12.639 GMT+0100,6269.63,6268.29
22.06.2016 08:00:12.985 GMT+0100,6270.197,6268.59
22.06.2016 08:00:13.426 GMT+0100,6270.697,6269.09
22.06.2016 08:00:13.825 GMT+0100,6271.47,6270.11
